asset,environment,public,internet_facing,exposure,segment
payroll-app,production,false,false,internal,finance
finance-db,production,false,false,internal,finance
customer-portal,production,true,true,public,dmz
api-gateway,production,true,true,public,network
dev-server,development,true,true,public,development
staging-app,staging,false,false,internal,staging
analytics-db,production,false,false,internal,analytics
admin-panel,production,true,true,public,management
backup-server,production,false,false,internal,infrastructure
monitoring,production,false,false,internal,infrastructure
